appid,cc,currency,initial,final,discount_pct,is_free
1468810,us,USD,1999,1999,0,0
1551360,us,USD,5999,5999,0,0
1593500,us,USD,4999,4999,0,0
1599340,us,,0,0,0,1
1716740,us,USD,4999,4999,0,0
1782210,us,,0,0,0,1
1811260,us,,0,0,0,1
2050650,us,USD,3999,3999,0,0
2183900,us,USD,5999,5999,0,0
2246340,us,USD,6999,6999,0,0
2379780,us,USD,1499,1499,0,0
2694490,us,USD,2999,2999,0,0
2881650,us,USD,799,399,50,0
3164500,us,USD,1999,1999,0,0
3241660,us,USD,999,999,0,0
204360,us,USD,1499,1499,0,0
219150,us,USD,999,999,0,0
219740,us,USD,999,999,0,0
219990,us,USD,2499,499,80,0
220200,us,USD,3999,3999,0,0
220240,us,USD,1999,1999,0,0
221380,us,USD,1999,1999,0,0
222880,us,USD,1499,1499,0,0
223470,us,USD,999,999,0,0
225540,us,USD,1999,1999,0,0
231430,us,USD,1999,1999,0,0
232090,us,USD,2999,2999,0,0
236850,us,USD,4999,4999,0,0
238320,us,USD,1499,1499,0,0
244850,us,USD,1999,1999,0,0
268500,us,USD,1999,299,85,0
282070,us,USD,1999,1999,0,0
286690,us,USD,1999,1999,0,0
287700,us,USD,1999,1999,0,0
301520,us,,0,0,0,1
305620,us,USD,1999,1999,0,0
323190,us,USD,2999,2999,0,0
335300,us,USD,3999,3999,0,0
356190,us,USD,4999,4999,0,0
359320,us,USD,1999,499,75,0
361420,us,USD,2999,2999,0,0
362890,us,USD,1999,1999,0,0
386360,us,,0,0,0,1
387990,us,USD,1999,1999,0,0
391220,us,USD,2999,449,85,0
412020,us,USD,2999,2999,0,0
424840,us,USD,1999,1999,0,0
440900,us,USD,3999,3999,0,0
457140,us,USD,2499,2499,0,0
504230,us,USD,1999,1999,0,0
508440,us,USD,1999,399,80,0
513710,us,USD,4499,1799,60,0
552500,us,USD,2999,299,90,0
570940,us,USD,3999,3999,0,0
581320,us,USD,2999,2999,0,0
582160,us,USD,5999,5999,0,0
594570,us,USD,5999,1499,75,0
629760,us,USD,2999,2999,0,0
632470,us,USD,3999,3999,0,0
674940,us,USD,499,199,60,0
677620,us,,0,0,0,1
755790,us,,0,0,0,1
774171,us,USD,299,299,0,0
779340,us,USD,3999,1199,70,0
899770,us,USD,3499,3499,0,0
976310,us,USD,4999,4999,0,0
1057090,us,USD,2999,2999,0,0
1092790,us,USD,1999,1999,0,0
1142710,us,USD,5999,899,85,0
1151340,us,USD,3999,3999,0,0
1151640,us,,0,0,0,1
1158310,us,USD,4999,4999,0,0
1167630,us,USD,2999,2999,0,0
1196590,us,USD,3999,3999,0,0
1222680,us,USD,6999,6999,0,0
1259420,us,USD,3999,3999,0,0
1289310,us,,0,0,0,1
1313140,us,USD,2499,2499,0,0
1361210,us,USD,3999,999,75,0
1446780,us,USD,3999,3999,0,0
1506830,us,,0,0,0,1
1604030,us,USD,3499,1574,55,0
1643320,us,USD,5999,4199,30,0
1677740,us,,0,0,0,1
1687950,us,USD,5999,5999,0,0
1771300,us,USD,5999,2399,60,0
1817070,us,USD,5999,5999,0,0
1818750,us,,0,0,0,1
1832640,us,USD,199,199,0,0
1868140,us,USD,1999,1999,0,0
1903340,us,USD,4999,4999,0,0
1943950,us,USD,999,999,0,0
2054970,us,USD,3999,3999,0,0
2195250,us,,0,0,0,1
2527500,us,USD,1499,1499,0,0
12120,us,,0,0,0,1
20900,us,USD,999,999,0,0
20920,us,USD,1999,1999,0,0
39210,us,USD,1999,1999,0,0
205100,us,USD,999,999,0,0
206420,us,USD,1999,299,85,0
206440,us,USD,999,999,0,0
211420,us,,0,0,0,1
212680,us,USD,999,999,0,0
214950,us,USD,5999,1199,80,0
223710,us,,0,0,0,1
233860,us,USD,2999,2999,0,0
234140,us,USD,1999,1999,0,0
