appid,currency,initial,final,discount_pct,is_free
349040,USD,1999,1499,25,0
365590,USD,2999,2999,0,0
376210,USD,1999,1999,0,0
383870,USD,1999,1999,0,0
389730,USD,3999,599,85,0
397900,USD,0,0,0,1
418370,USD,1999,1999,0,0
438740,USD,0,0,0,1
447040,USD,4999,249,95,0
460930,USD,4999,4999,0,0
466240,USD,0,0,0,1
516750,USD,1499,1499,0,0
546560,USD,5999,5999,0,0
550650,USD,0,0,0,1
582660,USD,999,999,0,0
588430,USD,0,0,0,1
602960,USD,3499,3499,0,0
613100,USD,2499,2499,0,0
620980,USD,2999,2999,0,0
629520,USD,499,499,0,0
635260,USD,1699,1699,0,0
644560,USD,199,199,0,0
646910,USD,2999,2999,0,0
683320,USD,1499,1499,0,0
703080,USD,4499,224,95,0
750920,USD,3999,599,85,0
753640,USD,2499,1499,40,0
761890,USD,0,0,0,1
787860,USD,1799,1799,0,0
815370,USD,2799,279,90,0
823130,USD,0,0,0,1
848450,USD,2999,2999,0,0
863550,USD,0,0,0,1
881100,USD,1999,1999,0,0
952060,USD,3999,3999,0,0
962130,USD,3999,3999,0,0
1030840,USD,3999,3999,0,0
1046930,USD,0,0,0,1
1113000,USD,1999,1999,0,0
1150690,USD,1999,1999,0,0
1203620,USD,2999,2999,0,0
1217060,USD,1999,1999,0,0
1222700,USD,2999,2999,0,0
1248130,USD,1999,1999,0,0
1274570,USD,999,999,0,0
1366540,USD,1999,1999,0,0
1407200,USD,0,0,0,1
1454400,USD,499,499,0,0
1466860,USD,3999,3999,0,0
1665460,USD,0,0,0,1
1721470,USD,0,0,0,1
1888160,USD,5999,5999,0,0
1888930,USD,5999,5999,0,0
1942280,USD,499,499,0,0
2001120,USD,4999,4999,0,0
2399830,USD,4499,1124,75,0
2669320,USD,6999,6999,0,0
2835570,USD,299,299,0,0
500,USD,999,999,0,0
1250,USD,1999,1999,0,0
17390,USD,1999,1999,0,0
35140,USD,1999,1999,0,0
55230,USD,999,249,75,0
113200,USD,499,499,0,0
200260,USD,1999,1999,0,0
201270,USD,2999,599,80,0
203770,USD,0,0,0,1
207610,USD,1499,1499,0,0
213670,USD,2999,2999,0,0
214490,USD,3999,3999,0,0
218230,USD,0,0,0,1
219640,USD,2499,2499,0,0
224260,USD,0,0,0,1
233450,USD,2999,2999,0,0
238460,USD,1499,1499,0,0
239030,USD,999,999,0,0
242050,USD,3999,3999,0,0
250820,USD,0,0,0,1
265930,USD,999,999,0,0
274170,USD,1499,1499,0,0
286160,USD,1999,1999,0,0
287390,USD,1999,1999,0,0
289650,USD,2999,2999,0,0
298110,USD,2999,2999,0,0
304430,USD,2499,2499,0,0
307690,USD,1999,1999,0,0
363970,USD,0,0,0,1
365670,USD,0,0,0,1
380600,USD,0,0,0,1
386180,USD,0,0,0,1
387290,USD,1999,1999,0,0
388520,USD,5999,5999,0,0
403640,USD,2999,2999,0,0
414340,USD,2999,2999,0,0
424370,USD,2999,2999,0,0
431240,USD,1499,1499,0,0
460950,USD,1499,1499,0,0
466560,USD,3499,979,72,0
471710,USD,0,0,0,1
489520,USD,0,0,0,1
493340,USD,4499,4499,0,0
493520,USD,3999,3999,0,0
495420,USD,2999,2999,0,0
636480,USD,1799,1799,0,0
638970,USD,0,0,0,1
678950,USD,8999,1439,84,0
680420,USD,1999,1999,0,0
728880,USD,2499,2499,0,0
747660,USD,3999,3999,0,0
752590,USD,6999,2099,70,0
766570,USD,0,0,0,1
838350,USD,2999,2999,0,0
924970,USD,5999,5999,0,0
949230,USD,4999,4999,0,0
977950,USD,599,599,0,0
1049590,USD,0,0,0,1
1089350,USD,0,0,0,1
1139900,USD,2999,2999,0,0
1145350,USD,2999,2999,0,0
1237950,USD,3999,3999,0,0
1238860,USD,3999,3999,0,0
1250410,USD,5999,5999,0,0
1260320,USD,1999,1999,0,0
1282100,USD,4999,4999,0,0
1286830,USD,0,0,0,1
1304930,USD,3999,3999,0,0
1363080,USD,3999,2599,35,0
1404210,USD,1999,1999,0,0
1533390,USD,1999,1999,0,0
1774580,USD,6999,6999,0,0
1778820,USD,3999,3999,0,0
1790600,USD,6999,6999,0,0
2215430,USD,5999,5999,0,0
2231450,USD,1999,1999,0,0
2622380,USD,3999,3999,0,0
2670630,USD,1999,1999,0,0
2709570,USD,0,0,0,1
3146520,USD,499,499,0,0
6060,USD,999,999,0,0
8190,USD,1499,1499,0,0
10090,USD,1999,1999,0,0
10180,USD,1999,1999,0,0
21690,USD,1999,1999,0,0
22330,USD,1499,1499,0,0
22370,USD,1999,1999,0,0
33230,USD,1999,1999,0,0
48000,USD,1249,1249,0,0
50130,USD,2999,2999,0,0
50300,USD,0,0,0,1
108710,USD,1499,1499,0,0
200510,USD,1499,599,60,0
201810,USD,1999,1999,0,0
203140,USD,1999,1999,0,0
204100,USD,1999,599,70,0
209000,USD,1999,1999,0,0
221040,USD,1999,1999,0,0
246620,USD,1499,299,80,0
253230,USD,2999,2999,0,0
261570,USD,0,0,0,1
274190,USD,1499,1499,0,0
285900,USD,1999,1999,0,0
307780,USD,1999,1999,0,0
312660,USD,5999,5999,0,0
319510,USD,499,499,0,0
333930,USD,0,0,0,1
346010,USD,1499,1499,0,0
346900,USD,0,0,0,1
360430,USD,2999,2999,0,0
364360,USD,5999,1499,75,0
409710,USD,1999,499,75,0
414700,USD,1999,1999,0,0
418460,USD,2499,2499,0,0
420530,USD,999,999,0,0
454650,USD,1999,499,75,0
470220,USD,999,999,0,0
480490,USD,2999,2999,0,0
504370,USD,0,0,0,1
529340,USD,4999,4999,0,0
552100,USD,1999,1999,0,0
573090,USD,2499,2499,0,0
617290,USD,3999,3999,0,0
621060,USD,1999,1999,0,0
629730,USD,2999,2999,0,0
633230,USD,1999,499,75,0
637650,USD,3499,3499,0,0
645630,USD,1999,1999,0,0
648350,USD,4499,4499,0,0
674020,USD,0,0,0,1
678960,USD,7999,799,90,0
760160,USD,0,0,0,1
774361,USD,2499,2499,0,0
813820,USD,0,0,0,1
851850,USD,1999,1999,0,0
870780,USD,3999,3999,0,0
871720,USD,0,0,0,1
880940,USD,1499,1499,0,0
900883,USD,1999,1999,0,0
1089980,USD,1499,1499,0,0
1147560,USD,1999,1999,0,0
1272080,USD,2999,2999,0,0
1284190,USD,2399,2399,0,0
1290000,USD,2499,2499,0,0
1313860,USD,0,0,0,1
1328670,USD,5999,5999,0,0
1364780,USD,3999,3999,0,0
1371980,USD,3999,3999,0,0
1384160,USD,3999,3999,0,0
1621690,USD,1999,1999,0,0
1627720,USD,5999,5999,0,0
1693980,USD,5999,5999,0,0
1846380,USD,6999,6999,0,0
1919590,USD,0,0,0,1
2344520,USD,4999,4999,0,0
2479810,USD,3999,3999,0,0
2567870,USD,499,399,20,0
2593370,USD,999,999,0,0
2623190,USD,4999,4999,0,0
3240220,USD,4499,1979,56,0
420,USD,0,0,0,1
1840,USD,0,0,0,1
4500,USD,1999,1999,0,0
24240,USD,999,999,0,0
42700,USD,3999,3999,0,0
200210,USD,0,0,0,1
200710,USD,1999,399,80,0
202970,USD,3999,3999,0,0
204450,USD,1499,1499,0,0
221910,USD,1499,1499,0,0
225080,USD,1499,1499,0,0
236430,USD,3999,3999,0,0
242920,USD,1999,1999,0,0
243470,USD,1999,1999,0,0
244450,USD,2999,2999,0,0
245170,USD,2499,2499,0,0
253710,USD,0,0,0,1
261640,USD,3999,3999,0,0
269210,USD,799,799,0,0
273110,USD,0,0,0,1
273350,USD,0,0,0,1
282140,USD,2999,2999,0,0
302510,USD,999,999,0,0
310950,USD,1999,1999,0,0
312520,USD,2499,2499,0,0
313120,USD,1999,1999,0,0
337000,USD,2999,2999,0,0
367500,USD,2999,2999,0,0
386940,USD,1499,1499,0,0
476600,USD,5999,5999,0,0
501300,USD,1999,499,75,0
502500,USD,5999,959,84,0
505460,USD,2999,2999,0,0
527230,USD,1999,1999,0,0
568220,USD,2499,2499,0,0
599140,USD,1999,1999,0,0
601510,USD,0,0,0,1
603850,USD,599,599,0,0
612880,USD,3999,3999,0,0
644930,USD,2999,2999,0,0
666140,USD,2999,2999,0,0
690790,USD,1999,1999,0,0
704270,USD,2499,2499,0,0
751780,USD,1999,1999,0,0
834910,USD,2999,2999,0,0
843380,USD,0,0,0,1
860510,USD,2999,989,67,0
868270,USD,0,0,0,1
881020,USD,3999,3999,0,0
920210,USD,4999,4999,0,0
933110,USD,0,0,0,1
967050,USD,499,499,0,0
972660,USD,2999,2999,0,0
994280,USD,2999,2999,0,0
1017180,USD,1599,1599,0,0
1080110,USD,0,0,0,1
1129580,USD,3499,3499,0,0
1149460,USD,3499,3499,0,0
1206560,USD,1999,1999,0,0
1288310,USD,999,999,0,0
1295660,USD,9999,4999,50,0
1325200,USD,4999,4999,0,0
1418630,USD,0,0,0,1
1419170,USD,0,0,0,1
1451940,USD,1599,1599,0,0
1465360,USD,2999,2999,0,0
